Author,Review,Profession,Date,NumberOfStars
Minya J.,"Отвратительное обслуживание в буфете, был 7 февраля 2018 года, купил коврики для машины, чехол на ключ и рейлинги, зашёл в буфет перекусить - лучше бы потерпел и поел в другом месте",Знаток города 17 уровня,8 февраля 2018,1
Дмитрий Шилов,Мне нравится - у меня bmw поэтому плохо не могу ничего сказать,Знаток города 24 уровня,5 августа 2019,5
Дмитрий Федоров,Ремонтировали Авто по каско все понравилось отличный тех центр,Знаток города 6 уровня,3 февраля 2019,5
Алексей М.,Замечательный автосалог,Знаток города 4 уровня,28 декабря 2019,5
gs13,Отличный автосалон. Отличный менеджер Анастасия Дерюжинская. Покупал BMW X6.,Знаток города 3 уровня,27 декабря 2018,5
Алексей Р.,Очень не внимательны,Знаток города 6 уровня,10 февраля,3
Andrey K.,"Тут есть bmw audi vw и меренки, тачки на любой вкус и цвет))))",Знаток города 6 уровня,23 февраля 2019,5
Анна К.,"Ребята, так держать!)",Знаток города 4 уровня,8 марта,5
Марина К.,БМВ и этим все сказано.,Знаток города 9 уровня,27 ноября 2019,5
Алексей,Стало намного лучше. Качественный сервис. Не навязывают услуги. Все оптимально!,Знаток города 4 уровня,1 августа 2018,5
Ксения О.,Достаточно быстро,Знаток города 2 уровня,26 января,5
Radostev I.,"Лучший сервис БМВ в Москве, хоть и самый дорогой.",Знаток города 11 уровня,23 июня 2019,5
lbzxkz,Лучший дилер бмв.,Знаток города 9 уровня,10 ноября 2019,5
Игорь,"Лучший Сервис, и Дилер BMW15 лет с разными а/м сюда езжу. К одному приемщику и продавцу. Как родные уже",Знаток города 9 уровня,30 августа 2018,5
zlon,Хорошая крепкая команда мастеров ещё с БМВ-клуба,Знаток города 7 уровня,24 апреля 2019,5
Максим Л.,Вежливый персонал и четкая работа.,Знаток города 6 уровня,3 сентября 2019,5
Кобил Б.,Очень красивая и серьёзные БМВ машины,Знаток города 4 уровня,3 сентября 2019,1
Максим В.,Отличный дилер. Отличные менеджерыпо сервису мини,Знаток города 14 уровня,26 марта 2019,5
Анна М.,Быстро помогли найти нужную запчасть,Знаток города 5 уровня,8 сентября 2019,5
Константин Х.,Мото отдел лучший) всегда помогают и ценят своих клиентов.,Знаток города 5 уровня,23 февраля 2019,5
мээримбек Satymkylov,Если купить то только здесь и сотрудники знаеть и расскажет все плюсы минусы,Знаток города 3 уровня,20 декабря 2018,5
RKT RKT,"Очень долгое обслуживаниеДелал тут ТО-0, ТО-1, устранение небольших косяков — ни разу не успели во время",Знаток города 14 уровня,11 сентября 2018,3
Мы Судзиловские,Аккуратно... Красиво... Дорого...,Знаток города 5 уровня,12 июля 2019,5
Игорь Л.,Достойный дилер,Знаток города 9 уровня,24 ноября 2019,4
Роман Алексеевич З.,Отличный сервис,Знаток города 5 уровня,4 декабря 2019,5
Сергей,"Всё пафосно. Как и должно быть в BMW. Уж не знаю на сколько этот ""дворец"" эффективно работает...",Знаток города 10 уровня,5 декабря 2018,5
Алексей М.,Хороший и качественные авто и мотосалоны,Знаток города 4 уровня,4 июля 2019,5
Ivan Konokhov,Отличный сервис,Знаток города 4 уровня,26 октября 2019,5
Артём К.,Отличный персонал,Знаток города 9 уровня,9 декабря 2019,5
Александр Красавин,На высшем уровне,Знаток города 2 уровня,22 октября 2019,5
Дмитрий Х.,"Был у них на очередном ТО. Все, как обычно-без вопросов. Рекомендую.",Знаток города 4 уровня,25 апреля 2019,5
А.,Грамотный подход! Люди позитивные,Знаток города 6 уровня,19 августа 2019,5
Михаил Е.,"Если вам надо купить БМВ, приходите не пожалеете.",Знаток города 8 уровня,3 августа 2019,5
Евгений Герасимов,Приветливый персонал и хорошо подобранные для тест драйва машины,Знаток города 7 уровня,6 августа 2018,5
Андрей С.,Дорого.Качественно.,Знаток города 10 уровня,31 октября 2019,5
Группа компаний АПК-холдинг,Отличный салон,Знаток города 8 уровня,21 ноября 2019,5
Leonid P.,Люблю этот сервис. Проще всего добираться и ребята работают хорошие,Знаток города 3 уровня,19 января 2019,5
Михаил А.,Удобно. Быстро. Оперативно.,Знаток города 18 уровня,27 июня 2019,5
Руслан И.,Хороший дилер.,Знаток города 7 уровня,29 сентября 2019,5
Александр М.,"Очень большой салон, хороший магазин аксессуаров",Знаток города 6 уровня,18 декабря 2018,5
Мерьем И.,Всегда обслуживаю машину только у этого дилера.,Знаток города 7 уровня,6 июля 2019,5
Павел Горячев,Мне не понравился сервис во всех отношениях,Знаток города 10 уровня,4 августа 2019,1
Е.,Клиентской зоны нет((( кроме кафе с жёсткими стульями...,Знаток города 4 уровня,12 июня 2019,4
Дмитрий К.,Отличное место.,Знаток города 7 уровня,1 марта,5
Алексей Мелешкин,Крутой салон.,Знаток города 4 уровня,25 января,5
Сергей Таран,Качественный ремонт Вам гарантирован.мину у нх один очереди большие...,Знаток города 6 уровня,13 декабря 2018,5
Анна Т.,"Компактный салон, поэтому хорошая уютная атмосфера.",Знаток города 6 уровня,23 октября 2018,5
Антон Б.,Александр Федотов самый отличный мастер!,Знаток города 6 уровня,15 мая 2019,5
Наталья Б.,"Отличный сервис! Быстро, профессионально, качественно!",Знаток города 5 уровня,31 июля 2018,5
Сергей Т.,Всё отлично!,Знаток города 4 уровня,22 декабря 2019,5
Алексей С.,Душевное месо,Знаток города 3 уровня,20 февраля,5
дима ю.,"Нет нормальной комнаты ожидания. Плюс, что угостят чашечкой кофе или чая",Знаток города 5 уровня,1 октября 2018,4
Артур Меремкулов,Все на уровне,Знаток города 6 уровня,29 ноября 2019,5
Сергей К,"Из сервиса выдали машину не помытую , пыльную , прямо с уличной стоянки . Хотя цены не дешёвые .",Знаток города 8 уровня,29 сентября 2018,3
Илья,Лучший дилер,Знаток города 16 уровня,10 марта,5
Фёдор П.,"Хороший салон, вежливый и приветливый персонал.",Знаток города 9 уровня,15 октября 2018,5
Александр Винокуров,Лучший дилер,Знаток города 5 уровня,26 ноября 2019,5
Анастасия Т.,"Хороший салон, нет назойливых продавцов, спокойно походили посмотрели машины )",Знаток города 6 уровня,12 сентября 2018,4
Андрей И.,Был по работе,Знаток города 12 уровня,26 октября 2019,5
Андрюшка Воронов,Лучший Диллер ! Ребятам из motorrad огромное спасибо !,Знаток города 4 уровня,20 сентября 2018,5
Светлана Ш.,Персонал работает очень плохо. Решить свой вопрос почти нереально,Знаток города 15 уровня,4 марта 2019,2
N,"Приезжала по гарантии делать машину. Вежливый пррсонал, хорошее отношение к клиенту.",Знаток города 3 уровня,25 сентября 2018,5
NM,Хороший сервис и дружелюбный коллектив,Знаток города 5 уровня,13 февраля 2019,5
Олег,Молодцы! Проффи! И локация хорошая!,Знаток города 10 уровня,20 апреля 2019,5
Leon,"Отличный сервис, рекомендую.",Знаток города 7 уровня,16 июля 2019,5
Эдуард М.,Очень расслабленные и вальяжные менеджеры.,Знаток города 9 уровня,25 июля 2019,4
SERGEY G.,Находится в норм месте. А вот клиентоориентированность страдает.,Знаток города 3 уровня,4 февраля 2019,3
Ivan K.,Лучшие механики работают в АвтоДом,Знаток города 2 уровня,22 августа 2019,5
Фёдор С.,Норм сервис цены как обычных официалов,Знаток города 6 уровня,18 мая 2019,5
Геннадий Е.,"Был на ТО, все быстро, качественно и вежливо",Знаток города 9 уровня,31 августа 2018,5
Артем А.,Удаленное урегулирование страховых случаев ужасно! Работы по кузовному ремонту ужасно! Все долго...,Знаток города 3 уровня,1 ноября 2018,1
Анастасия Николаевна Б.,"покупала рюкзак любимому, до сих пор таскаем)))",Знаток города 12 уровня,10 июня 2019,5
Данила А.,Люблю автодом,Знаток города 6 уровня,7 декабря 2019,5
Грег,Если покупаете БМВ на севере вам сюда,Знаток города 7 уровня,19 августа 2019,5
Филипп М.,"Заманивают скидками, а по факту их не предоставляют!Хамоватый менеджер попался.",Знаток города 2 уровня,29 января 2019,1
Дмитрий К.,Красивое место по продаже автомобилей.,Знаток города 12 уровня,18 апреля 2019,5
Aleksandra T.,Очень дорого и красиво!,Знаток города 4 уровня,6 августа 2019,5
Станислав,"Несколько лет посещаю Автодом для прохождения планового ТО, всё проходит быстро и без излишней волокиты.",Знаток города 3 уровня,17 декабря 2018,5
Tarpon G.,"Развели на проверку, но ощущение что нае..ли нет, очень приятное отношение к клиенту. Нахватает столовки для клиентов классом ниже x6",Знаток города 4 уровня,21 февраля 2018,5
Fly I.,"Цены высоковаты, но уровень сервиса на высоте",Знаток города 7 уровня,20 октября 2018,5
1 2,"Черти. Мало места, дерут деньги. Вокруг много парковок",Знаток города 17 уровня,25 февраля 2019,2
Андрей С.,Супер приемщики сервиса Катя и Лёша.,Знаток города 3 уровня,30 мая 2019,5
Винникова Татьяна,Всегда все на высоком уровне,Знаток города 5 уровня,22 мая 2019,5
Юрий Рыбалкин,"все прекрасно ,только ценник очень крутой!",Знаток города 12 уровня,1 декабря 2018,3
Геншер ГансДитрих,Норм ребята,Знаток города 14 уровня,29 октября 2019,5
Marko,Хамство гопота несусветная. Благо есть и другие сервиси.,Знаток города 9 уровня,24 февраля 2019,1
Александр Ф.,Все на высшем уровне!!!,Знаток города 4 уровня,30 августа 2019,5
Даниил,хороший выбор мото экипа,Знаток города 9 уровня,3 июня 2019,5
Ekaterina E.,Кузовной цех - вовремя и хорошо починили,Знаток города 7 уровня,10 февраля 2019,5
Алексей,"Быстро,красиво и аккуратно",Знаток города 3 уровня,24 декабря 2019,5
Алина П.,"Очень красивые машины, приятный персонал",Знаток города 6 уровня,9 ноября 2018,5
yabdexx,Остался довольным после посещения технического сервиса,Знаток города 21 уровня,15 ноября 2018,5
Сергей Буряков,"Быстро, удобно, прлфнссионально",Знаток города 6 уровня,13 февраля 2019,5
Никита У,Советую всем!!’хороший сервис приятные люди.,Знаток города 15 уровня,17 октября 2018,5
Алексей В.,Отличный автосалон.,Знаток города 6 уровня,5 сентября 2019,5
дмитрий п.,Приятные продавцы консультанты,Знаток города 7 уровня,21 мая 2019,5
Хм...,Вежливо деликатно удобно,Знаток города 7 уровня,23 ноября 2019,5
marina,ТО сделали быстро и качественно,Знаток города 6 уровня,16 мая 2019,5
Михаил Ильин,Все супер!,Знаток города 17 уровня,8 декабря 2019,5
Gregory Azadyants,Самый адекватный дилерат бмв в Москве.,Знаток города 3 уровня,25 февраля 2019,5
Николай К.,Все хорошо,Знаток города 8 уровня,14 марта,4
Mikhail V.,Отлично работают,Знаток города 12 уровня,2 сентября 2019,5
Дмитрий Б.,Все супер!,Знаток города 7 уровня,15 октября 2019,5
Илья Р.,Здесь работают профи,Знаток города 4 уровня,30 августа 2019,5
D M,"Красиво, вкусное кафе",Знаток города 9 уровня,24 мая 2019,5
Василий И.,"Дорогие машины, но очень красивые!",Знаток города 12 уровня,17 января,5
Анатолий Б.,Все хорошо!,Знаток города 6 уровня,23 января,5
Юлия К.,"Сервис сильно хромает, никакого внимания к клиентам",Знаток города 5 уровня,11 марта 2019,5
Ольга С.,Здесь всё очень удобно и быстро!,Знаток города 3 уровня,13 декабря 2018,5
Тимофей К.,Всё кайф!,Знаток города 3 уровня,5 ноября 2019,5
Марьяна,Поменять персонал маркетинга,Знаток города 2 уровня,6 июля 2019,1
KV Юрий,Менеджер хорошо помог при выборе машины. Без него долго бы еще думал о покупке.,Знаток города 5 уровня,11 августа 2019,5
Sergey Z.,"Хороший сервис, приятные вежливые сотрудники",Знаток города 3 уровня,15 августа 2018,5
Y,Любимое место! Обслуживаю только тут свою 2 машину.,Знаток города 8 уровня,28 августа 2019,5
Андрей К,хороший дилер прекрасной марки авто,Знаток города 13 уровня,7 февраля 2019,5
Евгений Ф.,"Покупал у них машину, все хорошо",Знаток города 9 уровня,18 апреля 2019,5
Филипп М.,"Самые лучшие центы тут , очень круто обслуживают людей",Знаток города 3 уровня,27 марта 2018,5
Евгений К.,"Быстро, качественно.",Знаток города 7 уровня,1 июня 2019,5
Boris Stepanov,Отвратительная работа отдела Trade-in. Разводят на деньги и выламывают руки по цене.,Знаток города 3 уровня,25 сентября 2019,1
Илья К.,Мотоциклетный отдел лучший,Знаток города 3 уровня,25 мая 2019,5
Dennis Gromov,"Плохо проверили бу авто перед покупкой, долго обслуживают машины в выходные",Знаток города 5 уровня,27 августа 2018,2
Евгений,Не самый пока плохой сервис БМВ в Москве.,Знаток города 4 уровня,2 апреля 2019,5
Дмитрий Г.,Отличная столовая,Знаток города 7 уровня,27 июля 2019,4
Федор М.,Отличный автосалон,Знаток города 7 уровня,2 августа 2019,5
СD,Персонал смотрит по кошельку...,Знаток города 7 уровня,11 ноября 2019,2
Двугрошева В.,Медленный персонал,Знаток города 15 уровня,31 августа 2019,4
Артём О.,Самый колхозный автосалон в котором я был,Знаток города 4 уровня,24 марта 2019,1
Семён Мелконов,Отличный дилер и сервис !,Знаток города 16 уровня,14 апреля 2019,5
Владимир Н.,Хорошая столовая в Автодоме.,Знаток города 12 уровня,23 марта 2019,5
Денис Пинчук,Не самые выгодные предложения на новые авто,Знаток города 8 уровня,2 января 2019,4
Александр Д.,"Отличное обслуживание, грамотные специалисты.",Знаток города 3 уровня,30 мая 2018,5
bmw 777 v.,не всегда в срок,Знаток города 8 уровня,14 сентября 2019,4
Тарас М.,Очень грамотно и по судеству,Знаток города 6 уровня,10 января 2019,5
IVAN v.,"Дорого, но очень удобно.",Знаток города 7 уровня,14 февраля 2019,5
Фёдор Круглов,Отличное место. Приятный персонал,Знаток города 5 уровня,15 октября 2018,5
Евгений Сурин,Выбирал MINI. От тест-драйва до покупки около 2х недель.,Знаток города 12 уровня,13 октября 2018,5
Евгений,Ничего особенного,Знаток города 4 уровня,2 сентября 2019,2
Ildus S.,Высококвалифицированный персонал,Знаток города 4 уровня,26 января 2019,5
Andre S.,Прекрасный сервис дилера БМВ,Знаток города 11 уровня,23 января 2019,5
Илья Садиков,БМВ всегда хорошо),Знаток города 10 уровня,25 мая 2019,5
Иван,Хороший сервис,Знаток города 14 уровня,18 сентября 2019,4
Дмитрий К.,"Сервис испортился. Навязывают услуги, а потом сами их выполнить не могут.",Знаток города 3 уровня,16 сентября 2019,1
Александр В.,Бывают Проблемы с менеджерами,Знаток города 4 уровня,15 марта 2019,4
Алексей Тимофеев,Лучший сервис мото в России,Знаток города 7 уровня,28 декабря 2018,5
Мика Ковалли,Ленивые менеджеры,Знаток города 4 уровня,7 августа 2019,3
Игорь Русаков,Минус что маленький,Знаток города 9 уровня,22 июня 2019,4
Э К,"Хороший автотехцентр, меня ни разу не накалывали)",Знаток города 5 уровня,23 октября 2018,4
Иван Х.,Хороший автосалон сервис,Знаток города 6 уровня,16 марта 2019,5
Bear C.,Хорошее отношение к клиентам,Знаток города 3 уровня,6 марта 2019,5
Андрей,Сервис так себе. После тест-драйва менеджер даже не стал продавать машину 😂,Знаток города 14 уровня,7 августа 2019,1
Monolit S.,"Понравились машины, а вот цены совсем честное слово не понравились))))",Знаток города 2 уровня,16 мая 2018,5
Dmitry B.,Лучший продавец Алексей,Знаток города 2 уровня,1 мая 2019,5
Максим,Как в любом БМВ сервисе,Знаток города 8 уровня,4 мая 2019,4
Vitaly F.,Отличный дилер. Автосервис на высоте. Есть кафе.,Знаток города 10 уровня,24 января 2019,5
Alexey K.,Старый добрый зорге,Знаток города 5 уровня,1 июня 2019,5
Николай Савельев,"Очень достойно, кроме цен",Знаток города 11 уровня,13 декабря 2018,5
Михаил К.,Пожалуй самый адекватный дилер БМВ,Знаток города 7 уровня,29 октября 2018,4
Владимир Ч.,Все четко и быстро!,Знаток города 3 уровня,19 февраля 2019,5
Тот Самый,Очень крутой салон,Знаток города 3 уровня,12 апреля 2019,5
Олег Я.,Не отдавали 10 дней купленоое авто,Знаток города 10 уровня,25 января 2019,3
Сергей Б.,Приличный центр,Знаток города 7 уровня,31 мая 2019,4
Владислав,Быстро и качественно!,Знаток города 5 уровня,16 января 2019,5
Кирилл П.,Супер! Лучший дилер bmw и обслуживания!,Знаток города 6 уровня,28 мая 2018,5
Валера Д.,"Прекрасный сервис,компетентные сотрудники",Знаток города 7 уровня,27 июля 2018,5
Антон Б.,Хороший старый дилер,Знаток города 13 уровня,4 апреля 2019,5
Павел В.,Отличное место👍,Знаток города 4 уровня,21 июня 2019,5
CJ G.,Большой и удобный,Знаток города 4 уровня,27 мая 2019,5
Андрей М.,Как повезёт.,Знаток города 9 уровня,5 июля 2019,2
Игорь Лебедев,Лучший дилер БМВ,Знаток города 20 уровня,21 апреля 2019,5
Владимир Волхонский,Старый добрый АВТОДОМ,Знаток города 11 уровня,11 февраля 2019,5
Роман К.,Очень комфортно и приятно,Знаток города 5 уровня,10 сентября 2018,5
Mikhail K.,Старейший дилер Бмв в Москве!,Знаток города 9 уровня,31 декабря 2018,5
Anton S.,Лучший салон BMW,Знаток города 3 уровня,18 мая 2019,5
Бесчеревных Владислав,Обслуживание полный отстой,Знаток города 6 уровня,21 февраля 2019,1
Андрей С.,Отличный сервер,Знаток города 9 уровня,24 апреля 2019,5
Юлия У.,Отличный салон,Знаток города 5 уровня,22 мая 2019,5
Наталья Ф.,Обманывают клиентов при покупке авто,Знаток города 2 уровня,20 декабря 2018,2
Кармаев Евгений,Ужасное обслуживание. Обманывают. Неквалифицированные сотрудники.,Знаток города 4 уровня,24 мая 2018,1
Евгений Ф.,Всегда на уровне уже много лет!,Знаток города 4 уровня,30 августа 2018,5
Пирожок С.,отвратное отношение к клиенту. плевать они хотели. писал претензии итд. им все равно,Знаток города 6 уровня,15 марта 2019,1
Денис Ч.,Отличная консультация!,Знаток города 10 уровня,16 января 2019,5
Александр К.,Отличный сервис,Знаток города 5 уровня,9 апреля 2019,5
Павел П.,Лучший центр БМВ,Знаток города 4 уровня,12 марта 2019,5
Вадим М.,Ответственный сервис,Знаток города 6 уровня,5 февраля 2019,5
Dmitriy K.,Особенно отдел Мото! Молодцы!,Знаток города 6 уровня,13 августа 2018,5
РИНАТ- БАСАЕВ,мне понравился,Знаток города 5 уровня,29 мая 2019,5
Евгений П.,Вежливые люди и отличный сервис. Куплю еще.,Знаток города 5 уровня,21 марта 2018,5
Ахмед М.,Ужаснейший сервис.,Знаток города 5 уровня,5 ноября 2019,1
Никита Кот,Лучший диллер BMW в России,Знаток города 3 уровня,24 ноября 2018,5
Максим Белайчук,"Большой выбор в одном месте bmw, mini и мотоциклов bmw motorrad",Знаток города 16 уровня,14 августа 2018,5
Никита З.,Не супер вежливо.,Знаток города 9 уровня,11 января 2019,2
Дмитрий К,Все хорошо,Знаток города 8 уровня,4 сентября 2019,5
Ольга М.,"После покупки, ждали авто ещё неделю.",Знаток города 6 уровня,14 августа 2018,2
Евгений Р.,Все хорошо,Знаток города 6 уровня,28 августа 2019,5
Александр Я.,Удобная зона Парковки рядом,Знаток города 7 уровня,25 мая 2018,5
андрей т.,Бмв всегда хорошо,Знаток города 9 уровня,19 декабря 2018,5
Виктория Бакулина,Одно слово - профессионалы! Спасибо,Знаток города 5 уровня,22 июля 2018,5
Алексей С.,"Все отлично, как и всегда!",Знаток города 5 уровня,18 марта 2019,5
СЕРГЕЙ,Хороший сервис,Знаток города 15 уровня,17 марта 2019,5
Роман Б.,Ретро машины,Знаток города 7 уровня,20 апреля 2019,5
Ольга С.,Только автодом,Знаток города 3 уровня,17 апреля 2019,5
Артем,Неплохой шоурум,Знаток города 6 уровня,18 марта 2019,5
Игорь М.,Средне,Знаток города 5 уровня,12 августа 2019,4
Дмитрий Р.,Дружный коллектив,Знаток города 10 уровня,21 ноября 2018,5
Никита К.,Хороший сервис,Знаток города 8 уровня,8 марта 2019,5
Елена Ч.,"Ребята, настоящие профи!",Знаток города 3 уровня,13 июля 2018,5
Андрей К.,Все хорошо,Знаток города 13 уровня,4 июня 2019,5
Mikhail,Один из лучших дилерских сервисов по BMW,Знаток города 8 уровня,15 февраля 2019,5
Какая разница),Хороший салон,Знаток города 4 уровня,8 февраля 2019,5
Константин Горбунов,Один из лучших официальных.,Знаток города 11 уровня,29 июля 2018,5
Голубков Сергей,Качественный сервис.,Знаток города 12 уровня,3 октября 2018,5
Лев З.,Мини просто огонь!,Знаток города 5 уровня,21 сентября 2018,5
Александр К.,Лучший московский дилер BMW,Знаток города 8 уровня,8 июня 2018,5
александр в.,Отличный сервис),Знаток города 2 уровня,10 ноября 2018,5
Николай Г.,Ильяс - молодец!,Знаток города 5 уровня,28 октября 2018,5
Алексей,"BMW Motorrad на Зорге, самые профессиональные!!!",Знаток города 10 уровня,2 сентября 2018,5
Пьяный пряник,В кафе воняющий мужик !!!! Он всегда потный!,Знаток города 9 уровня,26 января 2019,5
сергей т.,отличное место !,Знаток города 4 уровня,19 сентября 2019,5
Вован Ш.,Место для богатых,Знаток города 11 уровня,25 июля 2018,5
Vladimir,Отличный салон и сервис,Знаток города 9 уровня,14 апреля 2019,5
Вадим Е.,Качественный дилер.,Знаток города 6 уровня,24 июня 2018,5
Константин П.,Лучший сервис!,Знаток города 4 уровня,28 октября 2018,5
Андрей Фоменко,Лучшие профессионалы.,Знаток города 15 уровня,19 мая 2018,5
Артем Малинин,Хорошие машины,Знаток города 4 уровня,30 октября 2018,5
Андрей Д.,Хороший автосалон,Знаток города 3 уровня,28 июля 2018,5
Николай,Отличный сервис,Знаток города 7 уровня,27 июля 2018,5
Александр Х.,Человеческое отношение к клиентам!,Знаток города 3 уровня,9 февраля 2018,5
Михаил К.,хороший персонал,Знаток города 7 уровня,27 июля 2018,5
q,Ребята молодцы.,Знаток города 6 уровня,11 июня 2018,5
Сергей В.,Встречают они по одежке надменные люди...,Знаток города 7 уровня,16 декабря 2018,1
Дмитрий Щ.,Случайно зашедший клиент здесь никому не нужен,Знаток города 5 уровня,1 сентября 2018,3
Илья,Отличный сервис!,Знаток города 17 уровня,29 мая 2019,3
Natalia D.,Всё нравится,Знаток города 4 уровня,9 сентября 2018,5
Глеб С.,Хорошо работают,Знаток города 8 уровня,11 мая 2018,5
Ekaterina Sarkisova,"Красят просто ужасно, через год всё облезло",Знаток города 5 уровня,1 сентября 2017,1
Максим К.,Все супер!,Знаток города 3 уровня,27 октября 2018,5
Сергей П.,Лучший сервис !!!,Знаток города 2 уровня,2 апреля 2018,5
FB,Качество машин низкое,Знаток города 13 уровня,19 ноября 2018,1
Дмитрий К.,Очень круто,Знаток города 2 уровня,12 мая 2018,5
СитиКар,"Дозвониться в рабочие часы до отдела запасных частей просто не реально (опыт уже год), никогда никто не берет трубку. Зато когда туда приезжаешь, клиентов никого, сидят 2-3 работника, но при этом никто по телефону не разговаривает. Загадка...",Знаток города 2 уровня,22 января 2014,2
